seed,rmse
1,20566.155135588124
2,20480.375479759827
3,20497.856115502735
4,20396.776786817652
5,20630.65629621508
6,20567.541497813527
7,20480.765494536026
8,20814.376223293642
9,20382.05824532479
10,20495.861167009512
11,20477.3406907317
12,20565.18641039075
13,20341.907249390595
14,20572.518574373564
15,20550.772354770917
16,20669.28043008643
17,20353.231034132856
18,20517.45340479307
19,20310.141939017078
20,20568.430626689675
21,20486.521217943573
22,20649.470678428534
23,20561.43474206029
24,20469.40446213194
25,20435.311140616963
26,20622.366350875305
27,20405.57734913355
28,20366.319902864092
29,20571.324287896055
30,20612.447824871768
31,20509.67286893389
32,20318.132393567423
33,20512.360873227404
34,20588.175759943446
35,20341.278112902957
36,20385.63533511416
37,20616.176881526466
38,20659.899714563897
39,20494.92718169824
40,20429.57686409694
41,20637.220593390633
42,20518.90392202774
43,20532.918988702237
44,20606.833905842414
45,20708.29328772253
46,20669.759568099584
47,20668.001338987655
48,20363.294290967704
49,20572.583946214265
50,20466.456074673846
