Короткий Адрес,Широта,Долгота
"Тазетдинова, 4",55.807643,49.230462
"Проезд Яраткан, 4",55.762059,49.200468
"Журналистов, 46А",55.817335,49.191907
"Кутуя, 100",55.781666,49.187729
"Яратам Жилой Комплекс, К5",55.773849,49.206657
"Луговая, 52",55.823692,49.050629
"Ачинская, 30",55.738201,49.149282
"Симонова, 11",55.86498,49.090424
"Нокса Парк Жк, 3",55.805614,49.22527
"Бухарская, 5",55.777343,49.201132
"Халитова, 2",55.819327,49.186292
"Аббасова, 23",55.786733,49.253585
"Проезд Яраткан, 4В",55.760236,49.198177
"Достоевского, 82/1",55.786516,49.160699
"Пугачевская, 47",55.783969,49.159531
"Бухарская, 32 К1",55.773272,49.206567
"Фучика, 30А",55.742838,49.214167
"Проезд Яраткан, 3",55.762378,49.201052
"Бухарская, 32 К2",55.774897,49.20451
"М Победы, ФЕРМА-2 ЖИЛМАССИВ",55.72238,49.167356
"Ярдем, 3",55.738733,49.159531
"Родины, 27",55.767124,49.202426
"Гали, 10Б",55.750738,49.228845
"Горьковское, 2А",55.825345,49.04169
"Яратам Жк, К1",55.773849,49.206657
"Ульянова-ленина, 47",55.785883,49.134585
"Затонская, 12",55.802204,48.973904
"Мкр Октябрьский Городок, 3",55.796127,49.106414
"Миля, 4",55.846098,49.093936
"Ярдем, 23",55.738221,49.153126
"Космонавтов, 61А",55.79519,49.204717
"Мкр Октябрьский Городок, 3А",55.796127,49.106414
"Бухарская, 4",55.773363,49.200171
"Миля, 3",55.845815,49.093137
"Притяжение Жк, 2",55.766375,49.193587
"Приволжская, 210С1",55.799821,48.955425
"Родины, 11",55.770846,49.20106
"Мкр Теплоконтроль, 2",55.746152,49.14143
"Баруди, 24/22",55.824106,49.0697
"Приволжская, 210С3",55.80064,48.954437
"Олонецкая, 6А",55.812646,49.198976
"Кутуя, 181Ж",55.765974,49.193551
"Переулок Односторонки Гривки, 10",55.812712,49.089624
"Мкр Теплоконтроль, 3",55.746152,49.14143
"Родины, 2",55.776062,49.194422
"Тукая, 90",55.775662,49.117284
"Родины, 20",55.764379,49.200189
"Щербаковский Переулок, 7",55.785655,49.130785
"Курынова, 4",55.799446,49.243416
"Проезд Созидателей, 7",55.759856,49.198698
"Бухарская, 3 К1",55.777201,49.198455
"Халитова, 10",55.818058,49.198303
"Нокса Парк Жилой Комплекс, 5",55.805614,49.22527
"Свобода Жилой Комплекс, С1",55.814487,49.138879
"Дубравная, 26",55.737811,49.205633
"Мечта Жк, 5",55.777722,49.186175
"Солдатская, 3",55.817183,49.10168
"Яратам Жилой Комплекс, К1",55.773849,49.206657
"Ачинская, 1",55.739899,49.149318
"Р.Гареева, 78Б",55.796127,49.106414
"Терегулова, 14",55.735439,49.205866
"Проезд Яраткан, 4А",55.761806,49.199704
"Нокса Парк Жк, 2",55.805655,49.224282
"Мой Ритм Жк, П К1-2",55.78324,49.208786
"Родины, 33В",55.760621,49.197728
"Родины, 26А",55.763579,49.194539
"Родины, 26",55.761578,49.194934
"Мкр Октябрьский Городок, 10",55.796127,49.106414
"Проезд Яраткан, 5",55.761745,49.202237
"Ломжинская, 30А",55.766577,49.230471
"Нежметдинова, 11 К4",55.803322,49.235062
"Терегулова, 12",55.735662,49.207744
"Хасанова, 15",55.778892,49.184657
"Бухарская, 2",55.773034,49.199866
"Восход, 16А",55.832308,49.074775
"25 Октября, 5",55.814588,49.062477
"Мечта Жилой Комплекс, 3",55.778882,49.18463
"Зорге, 11В",55.765048,49.188969
"Гали, 29",55.750783,49.247009
"Гвардейская, 48/2",55.778178,49.171533
"Мой Ритм Жк, П К1-1",55.78324,49.208786
"Проезд Юнуса Ахметзянова, 10",55.797367,49.186696
"Кариева, 4",55.78526,49.18543
"Р.Гареева, 117",55.796127,49.106414
"Нежметдинова, 11 К5",55.802796,49.236247
"Урам, 1",55.805042,49.199399
"Дубравная, 17А",55.739412,49.215487
"Портовая, 37",55.769276,49.094359
"Ерина, 5Д",55.681661,49.191565
"Шоссейный Переулок, 7",55.809459,49.081854
"Гаврилова, 1",55.827646,49.15875
"Большая, 76",55.796456,49.057968
"Мой Ритм Жк, П К14",55.786278,49.216772
"Проезд Яраткан, 6/15",55.761462,49.201519
"Московская, 2",55.792473,49.101482
"Мечта Жилой Комплекс, С2",55.778274,49.185627
"Дубрава 20 Жк, ДУБРАВА 2.0 Ж К",55.737289,49.205884
"Родины, 24",55.762936,49.197332
"Мкр Октябрьский Городок, 8",55.796127,49.106414
"Сказочный Лес Жк, 4.1",55.721584,49.174497
