uuid,Площадь,Кол-во Комнат,Этаж Квартиры,Ремонт,Экспозиция,Год Постройки,Год Ввода в Эксплуатацию,Этажей в Доме,Общая Площадь Дома,Материал Перекрытий,Материал Стен,Газ,Район,Почтовый Индекс,Широта,Долгота,Цена за квадрат
a5d5fd1d-b94c-4d55-b317-b586c1a9bbfb,69,2,5,0,1608,2015.0,2015.0,11.0,43698.7,0,2,3,5,420049.0,55.768583,49.152417,214536
7cf1c0cd-e61c-484c-ae32-3a9fb9c625af,31,1,3,1,1818,2021.0,2021.0,20.0,13184.7,1,4,2,6,420125.0,55.78774755,49.25471856976515,205502
50e9fc67-7151-4cd2-b3c8-6c47f1936cb1,65,2,20,0,1731,2019.0,2019.0,27.0,6215.795935044526,1,3,2,6,420087.0,55.766932,49.171425,221183
6cc0bc58-889e-4a7f-936b-7dddfea17a6d,42,2,19,1,1883,2019.0,2019.0,20.0,6215.795935044526,1,3,2,5,420064.0,55.729995,49.171569,216627
f56db2b1-5b8d-4601-b388-a0723e40c3bb,45,1,3,2,1608,2008.0,2008.0,9.0,10330.0,1,3,3,4,420126.0,55.816485,49.138681,212054
5f8c5cb9-e6f2-4882-9500-1eef31241b22,37,1,7,0,1401,2021.0,2021.0,11.0,6215.795935044526,1,3,2,1,420108.0,55.768005,49.09399,228032
65ce250a-88fe-471e-86b9-ba960bc9e88d,40,1,9,1,1498,1980.0,1980.0,14.0,4679.4,1,3,3,3,420066.0,55.817825,49.101374,228643
3a02f8f2-31ab-4125-be1c-9ed2c5fa58fc,31,1,11,2,1681,2021.0,2021.0,19.0,6597.587862247118,1,3,2,5,420010.0,55.729012,49.185951,212662
8a077cc6-de82-4682-800e-d8a60a098921,66,2,7,1,1761,1982.0,1982.0,9.0,4770.89,0,2,3,1,420012.0,55.7869,49.134918,218373
7362224f-bb64-4865-8f84-0b09ace1061f,35,1,1,1,1818,2015.0,2015.0,17.0,17638.2,1,3,2,6,420140.0,55.76639,49.238098,227273
