uuid,Короткий Адрес,Площадь,Кол-во Комнат,Этаж Квартиры,Ремонт,Экспозиция
a5d5fd1d-b94c-4d55-b317-b586c1a9bbfb,"Спартаковская, 88Б",69,2,5,Без отделки,1608
7cf1c0cd-e61c-484c-ae32-3a9fb9c625af,"Умырзая, 14",31,1,3,Евроремонт,1818
50e9fc67-7151-4cd2-b3c8-6c47f1936cb1,"Аметьевская магистраль, 18 К2",65,2,20,Без отделки,1731
6cc0bc58-889e-4a7f-936b-7dddfea17a6d,"Урманче, 11 К3",42,2,19,Евроремонт,1883
f56db2b1-5b8d-4601-b388-a0723e40c3bb,"Хакима, 35",45,1,3,Косметический,1608
5f8c5cb9-e6f2-4882-9500-1eef31241b22,"Портовая, 37В К1",37,1,7,Без отделки,1401
65ce250a-88fe-471e-86b9-ba960bc9e88d,"Декабристов, 10",40,1,9,Евроремонт,1498
3a02f8f2-31ab-4125-be1c-9ed2c5fa58fc,"Оренбургский, 138Д",31,1,11,Косметический,1681
8a077cc6-de82-4682-800e-d8a60a098921,"Маяковского, 3",66,2,7,Евроремонт,1761
7362224f-bb64-4865-8f84-0b09ace1061f,"Айтматова, 11",35,1,1,Евроремонт,1818
206c01f7-58a0-4dba-b374-bc4b694fdd7e,"Чистопольская, 14",71,3,8,Косметический,1608
e650a0a8-7cf2-46b5-a17b-f3d8269dd9ba,"Чуйкова, 59Г",39,1,2,Евроремонт,1911
357cff52-c68c-4e60-bafe-ee68a808e11e,"Павлюхина, 128",40,1,10,Евроремонт,1406
333173ad-2107-4191-81ee-e79099199f87,"Урманче, 4 К4",34,1,2,Косметический,1498
c9e15fb1-161b-4dd2-b530-4165d6581ecf,"Камалеева, 32",52,2,8,Евроремонт,1609
d4b9407a-0130-4630-bf5e-dcb45c244910,"Аббасова, 5",31,1,14,Без отделки,1827
2d2238e8-af44-436c-a56e-6489e5810ea0,"Адоратского, 36В",32,1,4,Евроремонт,1710
298bb41d-6ed7-413f-be5d-2022af2f100f,"Губкина, 12Б",35,1,11,Без отделки,1546
3a052730-8e40-4454-9c87-d9b178177a6c,"2-я Юго-Западная, 39",29,1,12,Евроремонт,1546
90559c99-b0a9-43b3-a340-f6d2469b530c,"Роторная, 27Б",38,1,15,Косметический,1731
54c3a83b-e52f-4b56-a072-f04565af3897,"Козина, 7",80,3,12,Евроремонт,1518
bd37e9e8-6477-4c61-b5fb-a6fa45bf27f1,"Минская, 42",17,1,1,Евроремонт,1673
6096721f-08c9-4c69-92f9-8158ab769c32,"Чистопольская, 66",82,3,4,Евроремонт,1729
acfd5f9b-63d8-473d-8c1e-f30c5b7f47d0,"Касимовых, 35",35,1,22,Нет информации,1400
684aad56-d8f3-4e5c-9a8a-c0f4a96e1a25,"Ершова, 65Б/3",42,1,18,Евроремонт,1404
b80089a4-c925-4cdd-bc9a-5feea33b895a,"Хакима, 51",62,2,3,Без отделки,1608
7579d8ad-dfbb-4455-9181-fdbe7cc54e7b,"Рахлина, 15 К1",31,1,3,Евроремонт,1883
5a713491-6e48-41f3-870f-41437a55e6cf,"Седова, 5",18,1,1,Косметический,1911
8dc5071b-facb-4740-a035-d161de3c2cee,"Краснококшайская, 84",65,2,4,Евроремонт,1911
99787a75-d6ca-4d6d-a300-2751d75dea40,"Хасанова, 13А",33,1,14,Без отделки,1609
6c74db9e-499d-4d62-bcff-6da4f57c45ca,"Бичурина, 13",39,2,6,Без отделки,1498
dfb7f555-25ec-42c4-8f91-47d814a7a512,"Кутуя, 110Е",30,1,14,Без отделки,1547
3cf7fa34-8e36-448e-8f03-c1b98744fbfb,"Лаврентьева, 22",33,1,9,Косметический,1881
56003e1d-82e0-4929-8f90-26e963a423a6,"Камалеева, 32Б",33,1,18,Косметический,1608
9b5a606f-6b3a-4536-991b-9424631f7b98,"Чистопольская, 71А",40,1,8,Косметический,1499
4bbfd0f0-1c91-4ec0-9a18-6529f8838088,"Родины, 33Б К1",32,1,6,Евроремонт,1546
1c7d32c6-3716-42fa-86e6-5add07c8bbef,"Ахтямова, 1 К1",56,2,13,Евроремонт,1675
f8625775-bd5d-46c9-a106-66a2695f4b7e,"Хакима, 43",62,2,4,Без отделки,1608
f9a575a9-0529-4c61-8b66-d1b63b4ba869,"Парижской Коммуны, 4",65,2,5,Косметический,1785
956a23ca-df5e-42c7-b92c-f75d62555502,"Карбышева, 48",27,1,5,Косметический,1517
85644d8f-1861-49ac-9c7a-6fcea2af2513,"Умырзая, 14",56,2,11,Евроремонт,1762
bcc6371f-e7f2-476b-9831-8e44379af199,"Губкина, 12Б",36,1,1,Евроремонт,1910
25aa9bd7-13b2-4ce9-b50e-788366d54b93,"Батталовых, 20А К2",37,1,3,Евроремонт,1679
5f0979bf-6659-4259-9073-24772d9832a8,"Адоратского, 3",62,2,3,Евроремонт,1536
3ac16e8a-8774-46f3-b3ca-bd41993f29f7,"Чистопольская, 79",45,1,6,Евроремонт,1673
bf859bf5-e620-497d-9c3f-b93653d2811f,"Вишневского, 51/1",33,1,3,Евроремонт,1789
1e086bee-516c-46bd-b604-ff0a710f8f07,"Мусина, 7",37,1,8,Косметический,1546
7fdc5039-bf35-4570-842f-ce14fa717a41,"Аметьевская магистраль, 16 К1",39,1,14,Евроремонт,1517
d025a507-b1fb-4967-b180-75c3245b27f9,"Р.Гареева, 102 К2",36,1,8,Евроремонт,1731
1faa9a18-64f4-4bf8-a680-a29759232e0b,"Портовая, 37 К2",55,2,6,Без отделки,1852
a1dd0f00-b748-4d50-831b-9af94ff98bcf,"Ямашева, 31Б",39,1,5,Нет информации,1546
0553cac6-d9dd-4917-a3b1-28429ae071a6,"Петербургская, 65А",91,4,17,Без отделки,1373
724b7f6e-d0ae-4a46-9f4d-bafe3ac65559,"Ульянова-ленина, 23",70,1,3,Евроремонт,1372
ed2c935e-0300-4026-bb6c-044a4c71548d,"Тазетдинова, 4",43,2,7,Без отделки,1727
8566f380-1929-47f0-9e24-cd1bfb1fab63,"Королева, 73",14,1,1,Евроремонт,1579
84153178-dbf5-4df0-b35a-047850b530e3,"Проезд Яраткан, 4",51,2,5,Евроремонт,1896
10b6b5a0-bf20-4632-91e0-8a7a130e14f7,"Р.Гареева, 103",37,1,20,Евроремонт,1908
35a5175b-330d-4a85-8e2c-ef0260ccefd9,"Чистопольская, 38",71,1,2,Без отделки,1784
07c6388d-a25f-4280-b4c8-493184a96e64,"Енисейская, 4А",34,1,2,Косметический,1546
5ed7cb35-ebb1-49c2-9ea9-59b2736b73aa,"Журналистов, 46А",50,2,7,Без отделки,1676
cf1b50f5-3736-45a7-9966-b8dcfd191c58,"Габишева, 18А",36,1,13,Евроремонт,1789
771ea07a-d33c-407f-9974-1d01d1378ec3,"Сибирский, 13",46,1,9,Евроремонт,1860
76dc8abd-a707-4741-a62e-e2c82d7f405e,"Курынова, 10 К1",30,1,11,Косметический,1639
fd6d2cf5-4eac-488b-96fa-ad1a0ace9be1,"Кутуя, 100",37,1,7,Косметический,1639
