uuid,Цена за квадрат
a5d5fd1d-b94c-4d55-b317-b586c1a9bbfb,214536
7cf1c0cd-e61c-484c-ae32-3a9fb9c625af,205502
50e9fc67-7151-4cd2-b3c8-6c47f1936cb1,221183
6cc0bc58-889e-4a7f-936b-7dddfea17a6d,216627
f56db2b1-5b8d-4601-b388-a0723e40c3bb,212054
5f8c5cb9-e6f2-4882-9500-1eef31241b22,228032
65ce250a-88fe-471e-86b9-ba960bc9e88d,228643
3a02f8f2-31ab-4125-be1c-9ed2c5fa58fc,212662
8a077cc6-de82-4682-800e-d8a60a098921,218373
7362224f-bb64-4865-8f84-0b09ace1061f,227273
206c01f7-58a0-4dba-b374-bc4b694fdd7e,211268
e650a0a8-7cf2-46b5-a17b-f3d8269dd9ba,204872
357cff52-c68c-4e60-bafe-ee68a808e11e,232911
333173ad-2107-4191-81ee-e79099199f87,207715
c9e15fb1-161b-4dd2-b530-4165d6581ecf,205825
d4b9407a-0130-4630-bf5e-dcb45c244910,219355
2d2238e8-af44-436c-a56e-6489e5810ea0,221362
298bb41d-6ed7-413f-be5d-2022af2f100f,217143
3a052730-8e40-4454-9c87-d9b178177a6c,228858
90559c99-b0a9-43b3-a340-f6d2469b530c,217277
54c3a83b-e52f-4b56-a072-f04565af3897,228750
bd37e9e8-6477-4c61-b5fb-a6fa45bf27f1,223214
6096721f-08c9-4c69-92f9-8158ab769c32,226994
acfd5f9b-63d8-473d-8c1e-f30c5b7f47d0,230000
684aad56-d8f3-4e5c-9a8a-c0f4a96e1a25,214048
b80089a4-c925-4cdd-bc9a-5feea33b895a,223507
7579d8ad-dfbb-4455-9181-fdbe7cc54e7b,220779
5a713491-6e48-41f3-870f-41437a55e6cf,218182
8dc5071b-facb-4740-a035-d161de3c2cee,223062
99787a75-d6ca-4d6d-a300-2751d75dea40,218845
6c74db9e-499d-4d62-bcff-6da4f57c45ca,230000
dfb7f555-25ec-42c4-8f91-47d814a7a512,223333
3cf7fa34-8e36-448e-8f03-c1b98744fbfb,210703
56003e1d-82e0-4929-8f90-26e963a423a6,221212
9b5a606f-6b3a-4536-991b-9424631f7b98,204489
4bbfd0f0-1c91-4ec0-9a18-6529f8838088,222741
1c7d32c6-3716-42fa-86e6-5add07c8bbef,206075
f8625775-bd5d-46c9-a106-66a2695f4b7e,224516
f9a575a9-0529-4c61-8b66-d1b63b4ba869,212308
956a23ca-df5e-42c7-b92c-f75d62555502,205556
85644d8f-1861-49ac-9c7a-6fcea2af2513,225207
bcc6371f-e7f2-476b-9831-8e44379af199,221910
25aa9bd7-13b2-4ce9-b50e-788366d54b93,221440
5f0979bf-6659-4259-9073-24772d9832a8,207439
3ac16e8a-8774-46f3-b3ca-bd41993f29f7,213496
